Item;Cups;Descripción ;Mebresias ;Particular
1;227101;Cierre de fistula oroantral;695,604;904,285
2;230101;Exodoncia de diente permanente unirradicular;105,47;138,411
3;230102;Exodoncia de diente permanente multirradicular;124,215;161480
4;230201;Exodoncia de diente temporal unirradicular;65000;84500
5;230202;Exodoncia de diente temporal multirradicar;78000;101400
6;231100;Exodoncia quirurgica uniradicular sod;152000;197600
7;231200;Exodoncia quirurgica multirradicular sod;188500;245050
8;231301;Exondociade incluido en posicion ectopica con abordaje intraoral ;498137;647578
9;231303;Exodoncia de diente incluido ;290000;377000
10;231500;Ventana quirurgica-colgajo desplazado para aordaje de deiente retenido con boton ;441353;573750
11;23210209;Obturación dental con resina de fotocurado gama convecional ;99372;129184
12;232300;Colocación de pin milimetrico sod;230000;299000
13;234101;Colocación o aplicación de corona en acero inoxidable (para dientes temporales);263900;343070
14;234103;Colocació o aplicación de corona en forma plastica;263900;343070
15;234201;Colocación o inserción  de protesis fija x unidad (pilar o ponticos);979524;1273381
16;234203;Patron de nucleo ;269724;350641
17;234301;Inserc. Adapt.control protesis removible parcial (sup o inf) Mucosoportada;990000;1287000
18;234302;Inserc. Adapt.control protesis removible parcial (sup o inf) Dentomucosoportada;990000;1287000
19;234303;Inserc. Adapt.control protesis removible flexible ;1100000;1430000
20;236302;Implante dental aloplastico (oseointegracion) sod gama convencional ;1950000;2535000
21;236301;Implante dental aloplastico (oseointegracion) sod gama media;2250000;2925000
22;236300;Implante dental aloplastico (oseointegracion)sod gama alta;2500000;3250000
23;237101;Pulpotomia  con pulpectomia ;224770;292201
24;237102;Pulpotomia ;198744;258367
25;237301;Terapia de conducto radicular en diente uniraradicular ;290000;377000
26;237302;Terapia de conducto radicular en diente birradicular ;390000;507000
27;237303;Terapia de conducto radicular en diente multirradicular ;490000;637000
28;237304;Terapia de conducto radicular en diente temporal unirradicular;269724;350641
29;237305;Terapia de conducto radicular en diente temporal multirradicular;269724;350641
30;237401;Curetaje apical con apicectomia y obturacion retrogada (cirugia perirradicular);1121484;1457929
31;237901;Blanquiamiento de diente (intriseco) por causas endodonticas ;290000;377000
32;240300;Alisado radicular campo cerrado sod por cuadrante ;160000;208000
33;241101;Biopsia incisional de encia;411684;535189
34;241104;Biopsia de encia;411684;535189
35;242102;Plastia mucoginival con injerto gingival libre por diente ;420000;546000
36;242201;Curetaje a campo abierto por diente ;390000;507000
37;243400;Gingivectomia;145000;188500
